,index,product_id,description,details,name,brand_category,attribute_name,attribute_value
25,6,01DTJCERF6F4NRZ2WSJFFA1EYS,beige stretch silk slip silk spandex dry clean imported,clothing top tank camis,teah stretch silk camisole,clothing top tank camis,category,top
45,6,01DTJCERF6F4NRZ2WSJFFA1EYS,beige stretch silk slip silk spandex dry clean imported,clothing top tank camis,teah stretch silk camisole,clothing top tank camis,category,top
69,8,01DVPBJ6464YKYGVAE0A1HMKGN,black velvet concealed hook zip fastening back viscose cupro lining silk dry clean imported,clothing dress mini,layered velvet mini dress,clothing dress mini,category,onepiece
76,8,01DVPBJ6464YKYGVAE0A1HMKGN,black velvet concealed hook zip fastening back viscose cupro lining silk dry clean imported,clothing dress mini,layered velvet mini dress,clothing dress mini,category,onepiece
107,10,01DPETNS8DB4MAR29ER6ESA7XA,accordion pleat flattering midi length faux leather skirt look feel like real thing,skirt,faux leather pleated midi skirt,skirt,category,bottom
108,10,01DPETNS8DB4MAR29ER6ESA7XA,accordion pleat flattering midi length faux leather skirt look feel like real thing,skirt,faux leather pleated midi skirt,skirt,category,bottom
121,10,01DPETNS8DB4MAR29ER6ESA7XA,accordion pleat flattering midi length faux leather skirt look feel like real thing,skirt,faux leather pleated midi skirt,skirt,category,bottom
142,10,01DPETNS8DB4MAR29ER6ESA7XA,accordion pleat flattering midi length faux leather skirt look feel like real thing,skirt,faux leather pleated midi skirt,skirt,category,bottom
162,11,01DT50ZST2PX9C1KKZA4P73Q5Q,heel measure approximately mm inch snake effect leather calf zip fastening along back imported,shoe boot ankle,parker logo embellished snake effect leather ankle boot,shoe boot ankle,category,shoe
190,11,01DT50ZST2PX9C1KKZA4P73Q5Q,heel measure approximately mm inch snake effect leather calf zip fastening along back imported,shoe boot ankle,parker logo embellished snake effect leather ankle boot,shoe boot ankle,category,shoe
209,17,01DVCQRRX4QYJV20667ZK52S82,black silk crepe concealed zip fastening along back silk lining triacetate polyester lining polyester dry clean imported,clothing dress midi,silk crepe midi dress,clothing dress midi,category,onepiece
234,17,01DVCQRRX4QYJV20667ZK52S82,black silk crepe concealed zip fastening along back silk lining triacetate polyester lining polyester dry clean imported,clothing dress midi,silk crepe midi dress,clothing dress midi,category,onepiece
251,19,01DPER9H4NMHGZXJTCWKN79N53,step sandal game best seller nyc based family owned accessory brand loeffler randall love pleated metallic gold chunky aka walkable heel href http www jcrew com c woman feature stylehacks intcmp new hp columntouts woman stylehacks amp om new hp p u see action latest style hack u,shoe,loeffler randall emilia pleated knot slide sandal,shoe,category,shoe
262,19,01DPER9H4NMHGZXJTCWKN79N53,step sandal game best seller nyc based family owned accessory brand loeffler randall love pleated metallic gold chunky aka walkable heel href http www jcrew com c woman feature stylehacks intcmp new hp columntouts woman stylehacks amp om new hp p u see action latest style hack u,shoe,loeffler randall emilia pleated knot slide sandal,shoe,category,shoe
290,20,01DVMERT64RSJQBBJS9973N7HF,blue denim button concealed zip fastening front cotton elastane machine wash made italy,clothing jean skinny leg,femme hi spike high rise straight leg jean,clothing jean skinny leg,category,bottom
310,20,01DVMERT64RSJQBBJS9973N7HF,blue denim button concealed zip fastening front cotton elastane machine wash made italy,clothing jean skinny leg,femme hi spike high rise straight leg jean,clothing jean skinny leg,category,bottom
323,21,01DS3P3NPXE2R3SFYNJNMCMSGZ,emilia wickstead prof tailoring covetable label glamorous evening dress label francis pant checked checked virgin wool outlined smart crease use wide waist belt temper cuffed wide leg hem,woman clothing pant,francis belted checked wool wide leg pant,woman clothing pant,category,bottom
335,21,01DS3P3NPXE2R3SFYNJNMCMSGZ,emilia wickstead prof tailoring covetable label glamorous evening dress label francis pant checked checked virgin wool outlined smart crease use wide waist belt temper cuffed wide leg hem,woman clothing pant,francis belted checked wool wide leg pant,woman clothing pant,category,bottom
381,27,01DPGS2915ZZY5BGMZPVB0Z3AN,new york based designer demy lee known cozy cult favorite sweater combine luxurious fiber versatile everyday wearability modern mock neck gently flared sleeve easy slightly boxy cashmere sweater become cold weather go closet,sweater,demylee harriett cashmere sweater,sweater,category,sweater
382,27,01DPGS2915ZZY5BGMZPVB0Z3AN,new york based designer demy lee known cozy cult favorite sweater combine luxurious fiber versatile everyday wearability modern mock neck gently flared sleeve easy slightly boxy cashmere sweater become cold weather go closet,sweater,demylee harriett cashmere sweater,sweater,category,sweater
407,27,01DPGS2915ZZY5BGMZPVB0Z3AN,new york based designer demy lee known cozy cult favorite sweater combine luxurious fiber versatile everyday wearability modern mock neck gently flared sleeve easy slightly boxy cashmere sweater become cold weather go closet,sweater,demylee harriett cashmere sweater,sweater,category,sweater
