,index,product_id,description,details,name,brand_category,is_work,is_nightout,is_daytonight,is_vacation,is_workout,is_weekend,is_coldweather
0,6,01DTJCERF6F4NRZ2WSJFFA1EYS,beige stretch silk slip silk spandex dry clean imported,clothing top tank camis unknown name detail dtype object,teah stretch silk camisole,clothing top tank camis,1.0,1.0,1.0,0.0,0.0,1.0,0.0
1,8,01DVPBJ6464YKYGVAE0A1HMKGN,black velvet concealed hook zip fastening back viscose cupro lining silk dry clean imported,clothing dress mini unknown name detail dtype object,layered velvet mini dress,clothing dress mini,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2,10,01DPETNS8DB4MAR29ER6ESA7XA,accordion pleat flattering midi length faux leather skirt look feel like real thing,skirt unknown name detail dtype object,faux leather pleated midi skirt,skirt,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3,11,01DT50ZST2PX9C1KKZA4P73Q5Q,heel measure approximately mm inch snake effect leather calf zip fastening along back imported,shoe boot ankle unknown name detail dtype object,parker logo embellished snake effect leather ankle boot,shoe boot ankle,1.0,1.0,1.0,0.0,0.0,1.0,0.0
4,17,01DVCQRRX4QYJV20667ZK52S82,black silk crepe concealed zip fastening along back silk lining triacetate polyester lining polyester dry clean imported,clothing dress midi unknown name detail dtype object,silk crepe midi dress,clothing dress midi,1.0,1.0,1.0,0.0,0.0,1.0,0.0
5,20,01DVMERT64RSJQBBJS9973N7HF,blue denim button concealed zip fastening front cotton elastane machine wash made italy,clothing jean skinny leg unknown name detail dtype object,femme hi spike high rise straight leg jean,clothing jean skinny leg,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6,21,01DS3P3NPXE2R3SFYNJNMCMSGZ,emilia wickstead prof tailoring covetable label glamorous evening dress label francis pant checked checked virgin wool outlined smart crease use wide waist belt temper cuffed wide leg hem,woman clothing pant unknown name detail dtype object,francis belted checked wool wide leg pant,woman clothing pant,1.0,0.0,1.0,0.0,0.0,1.0,0.0
7,27,01DPGS2915ZZY5BGMZPVB0Z3AN,new york based designer demy lee known cozy cult favorite sweater combine luxurious fiber versatile everyday wearability modern mock neck gently flared sleeve easy slightly boxy cashmere sweater become cold weather go closet,sweater,demylee harriett cashmere sweater,sweater,1.0,0.0,1.0,0.0,0.0,1.0,0.0
8,29,01DVPM8NMPDP0PEB3AH6MZXTCF,light gray denim partially concealed button fastening along front cotton machine wash,clothing jean straight leg,curb cropped acid wash high rise straight leg jean,clothing jean straight leg,0.0,0.0,1.0,0.0,0.0,1.0,0.0
9,32,01DVMG18KSHJ74RY99Q8XYKPVD,cropped shape chic chicer still sleeveless silhouette double layered hem add element intrigue beautifully boxy top wait till feel crisp cotton weightless ready take warm weather cotton dry clean recommended machine wash cold model bust waist hip wearing size,top,agnes top,top,0.0,0.0,1.0,1.0,0.0,1.0,0.0
10,34,01DPETFFTSDHQ66H03T0F58NX7,made supersoft mercerized cotton feel like second skin airy camisole feature subtle scoop neckline adjustable satin strap customize fit minimalist modern hanro luxe undergarment label crafting refreshingly simple design premium material aka basic basic year,pajama intimate,hanro ultralight spaghetti camisole,pajama intimate,0.0,0.0,1.0,0.0,0.0,1.0,0.0
11,40,01DPESWQ02NWKBDKA07T5ATPXV,everyone favorite flattering silhouette lightweight linen aka warm weather mvp,swimwear,linen wrap dress,swimwear,0.0,0.0,1.0,0.0,0.0,1.0,0.0
12,48,01DPGT6F3DFT5E371X1MB9YMC4,sandal wore back stay single strap version slightly bigger buckle washed metallic finish made contoured cork footbed mold foot aka get even comfortable wear german brand crafting footwear since,shoe,woman birkenstock madrid sandal oversized buckle,shoe,0.0,0.0,0.0,1.0,0.0,1.0,0.0
13,49,01DTMYKXRM898RSTAYY28JJSSS,white crepe de chine button fastening keyhole back polyester elastane lining polyester dry clean designer color chalk imported,clothing jumpsuit full length,draped crepe de chine jumpsuit,clothing jumpsuit full length,1.0,1.0,1.0,0.0,0.0,0.0,0.0
14,64,01DPERKES7R7ZJCJ9HYWKTS528,glittery gold lurex reg finish make block heel pump ultimate party pick bonus point supportive ankle strap aka even reason get dance floor,shoe,harlow ankle strap pump gold lurex,shoe,0.0,0.0,1.0,0.0,0.0,1.0,0.0
15,65,01DPGTXD3HEJ83GAWGBNB0PV92,love moment ease utility style jumpsuit gave one flattering feminine twist self tie belt waist slightly cropped straight leg,dresses and jumpsuits,belted denim boilersuit,dresses and jumpsuits,0.0,0.0,1.0,0.0,0.0,1.0,0.0
16,66,01DS3R2WW4HG3Y6XMSW3FP1MFA,adult iteration crop top look sally la pointe lightweight crewneck tee crafted airy soft silk cashmere blend creamsicle hue transitional piece look ideal paired white high waisted wide leg trouser simple white sandal either heeled flat,woman clothing top,airy cashmere silk cropped boxy tee,woman clothing top,0.0,0.0,1.0,0.0,0.0,1.0,0.0
17,73,01DPES95BX86GKMS1ZSJP1CS83,everything love jean easy pull waistband,denim jean,pull toothpick jean black,denim jean,1.0,1.0,1.0,0.0,0.0,1.0,0.0
18,74,01DVRR8RT6XFF8Z7C1MB7A16Z8,indigo denim button fastening along front cotton machine wash made italy,clothing jumpsuit full length,belted denim jumpsuit,clothing jumpsuit full length,1.0,0.0,1.0,0.0,0.0,1.0,0.0
19,84,01DPGXJXDY2WVT7AB3Q9YR8ZJT,super comfy lace gladiator sandal italian made leather studded bottom extra something something,shoe unknown name detail dtype object,studded wrap sandal,shoe,0.0,0.0,1.0,1.0,0.0,1.0,0.0
20,85,01DVRR6FFEE96YXGAVD399Y8VP,blush linen button fastening along front linen lining cotton dry clean designer color shell imported,clothing jumpsuit full length unknown name detail dtype object,super eight belted linen jumpsuit,clothing jumpsuit full length,0.0,0.0,1.0,0.0,0.0,1.0,0.0
21,86,01DTJ8DQ5SQYBS5HX6TDH2BSJP,handwoven local artisan hunting season shoulder bag designed bucket silhouette crafted durable raffia paneled smooth leather ensure longevity pinch tassel style drawstring keep belonging secure,woman bag shoulder bag unknown name detail dtype object,leather paneled raffia shoulder bag,woman bag shoulder bag,0.0,0.0,1.0,1.0,0.0,1.0,0.0
22,91,01DT51281DZCVH5KSYAMQA03R8,beige wool concealed hook zip fastening side wool lining cupro dry clean imported,clothing skirt midi unknown name detail dtype object,wool midi skirt,clothing skirt midi,0.0,0.0,1.0,1.0,0.0,1.0,0.0
23,93,01DPGXFHKP8MA3F81T2DG319GH,made lightweight cotton print liberty london british print house known mood lifting florals since classic popover perfect match skirt jean legging,shirt top,ruffle classic popover shirt liberty favourite flower,shirt top,0.0,0.0,1.0,1.0,0.0,1.0,0.0
